species,median.ghm.500m,median.viirs.500m,median.pop.500m,median.ghm.1km,median.viirs.1km,median.pop.1km,median.ghm.2km,median.viirs.2km,median.pop.2km,median.ghm.5km,median.viirs.5km,median.pop.5km,range.median.ghm.500m,range.median.viirs.500m,range.median.pop.500m,range.median.ghm.1km,range.median.viirs.1km,range.median.pop.1km,range.median.ghm.2km,range.median.viirs.2km,range.median.pop.2km,range.median.ghm.5km,range.median.viirs.5km,range.median.pop.5km,overall.median.ghm.500m,overall.median.viirs.500m,overall.median.pop.500m,overall.median.ghm.1km,overall.median.viirs.1km,overall.median.pop.1km,overall.median.ghm.2km,overall.median.viirs.2km,overall.median.pop.2km,overall.median.ghm.5km,overall.median.viirs.5km,overall.median.pop.5km,relative.ghm.500m,relative.viirs.500m,relative.pop.500m,relative.ghm.1km,relative.viirs.1km,relative.pop.1km,relative.ghm.2km,relative.viirs.2km,relative.pop.2km,relative.ghm.5km,relative.viirs.5km,relative.pop.5km
Litoria revelata,0.308767627,0.221872582,8.563056946,0.311548128,0.222802087,8.727152063,0.312444412,0.224065475,11.64545624,0.266532566,0.298799831,27.73479555,0.360694485,0.250362997,15.92638061,0.356158416,0.253773428,16.91582924,0.347377705,0.288494524,28.93914996,0.314298975,0.375339844,46.37971819,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,-0.051926859,-0.028490415,-7.363323663,-0.044610287,-0.030971341,-8.188677172,-0.034933293,-0.064429049,-17.29369371,-0.047766409,-0.076540012,-18.64492264
Litoria rheocola,0.319389266,0.192916567,7.611087842,0.294948498,0.187593416,9.856936473,0.267839393,0.197206817,12.96592133,0.230515372,0.288452294,24.5968513,0.362194214,0.309307498,26.16329934,0.349278534,0.331152375,29.95831323,0.333676605,0.405046106,62.43138488,0.305664061,0.377398541,43.15044082,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,-0.042804948,-0.116390931,-18.5522115,-0.054330036,-0.143558959,-20.10137676,-0.065837212,-0.207839289,-49.46546355,-0.075148689,-0.088946247,-18.55358952
Litoria rothii,0.254700472,0.24410561,8.556923777,0.252753274,0.241993869,9.966300166,0.247367913,0.248339291,11.13186487,0.19987113,0.263027209,8.275620714,0.271818975,0.258620254,11.73825863,0.273577142,0.261262702,14.91597206,0.261078049,0.266511271,16.05094705,0.217862347,0.282705129,14.26967332,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,-0.017118503,-0.014514644,-3.18133485,-0.020823868,-0.019268833,-4.949671892,-0.013710136,-0.01817198,-4.91908218,-0.017991217,-0.01967792,-5.994052603
Litoria rubella,0.336295919,0.336004155,23.06363653,0.334916873,0.347025841,27.54390651,0.326370493,0.402465919,26.89180723,0.294688395,0.458361327,24.0597376,0.308045214,0.250152884,16.37816123,0.308105038,0.2518856,19.00939408,0.302483097,0.249936275,18.4404312,0.277724082,0.286883159,19.25479802,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,0.028250705,0.085851271,6.685475298,0.026811835,0.095140241,8.534512432,0.023887396,0.152529644,8.451376025,0.016964313,0.171478168,4.804939578
Litoria tornieri,0.128291969,0.167274177,6.403423045,0.129369303,0.189831443,6.403422984,0.131863596,0.188961496,6.39380518,0.126303538,0.176458431,5.222454705,0.13486592,0.20388482,6.40342306,0.132121589,0.194573769,6.40342299,0.134270118,0.222159425,6.396513037,0.12640755,0.251410402,5.234760326,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,-0.006573952,-0.036610643,-1.46E-08,-0.002752286,-0.004742325,-6.36E-09,-0.002406523,-0.03319793,-0.002707857,-0.000104013,-0.074951971,-0.012305621
Litoria tyleri,0.380104275,0.293274295,27.2897278,0.379781885,0.292997284,30.56459993,0.380982584,0.304269196,34.05967013,0.388106418,0.534342247,62.23565879,0.52187584,0.774523418,132.1388546,0.513485572,0.819756864,138.3569388,0.495101605,0.878420749,141.7972501,0.453355714,0.918200982,128.1296981,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,-0.141771565,-0.481249123,-104.8491268,-0.133703687,-0.52675958,-107.7923388,-0.114119021,-0.574151553,-107.73758,-0.065249295,-0.383858735,-65.89403935
Litoria verreauxii,0.353812276,0.272851413,20.95652852,0.348687883,0.277616596,25.41416157,0.325261981,0.293639952,29.51039011,0.283420386,0.30681367,33.60199056,0.502671613,0.763894488,96.59866776,0.497968103,0.781922989,109.2754837,0.479647337,0.817356566,117.0272437,0.42344991,0.768583351,98.78848401,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,-0.148859337,-0.491043075,-75.64213923,-0.14928022,-0.504306392,-83.8613221,-0.154385356,-0.523716614,-87.51685363,-0.140029524,-0.461769681,-65.18649345
Litoria watjulumensis,0.128296555,0.168242241,6.403423041,0.129412375,0.190201926,6.403422984,0.131863656,0.188961912,6.393813508,0.126357497,0.176459998,5.227482159,0.128655722,0.20668388,6.403423059,0.129510919,0.193186786,6.40342299,0.131884102,0.210174312,6.394948823,0.126392292,0.24475659,5.232643311,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,-0.000359168,-0.038441639,-1.78E-08,-9.85E-05,-0.002984859,-6.33E-09,-2.04E-05,-0.0212124,-0.001135316,-3.48E-05,-0.068296592,-0.005161151
Litoria wilcoxii,0.211038705,0.17255061,6.714605344,0.20992916,0.175555044,6.666801283,0.212703764,0.174856624,5.807023864,0.22439003,0.175891355,5.625630015,0.394292499,0.347777068,35.51047215,0.391630076,0.344729399,35.18948915,0.382962443,0.371072725,41.54450922,0.358662178,0.451661182,52.54715558,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,-0.183253793,-0.175226458,-28.79586681,-0.181700916,-0.169174355,-28.52268787,-0.170258679,-0.196216101,-35.73748536,-0.134272148,-0.275769826,-46.92152556
Litoria xanthomera,0.394885647,0.498785209,147.1175899,0.393395822,0.626639104,168.0533491,0.367240424,0.580365541,127.219537,0.379603013,0.739634367,106.0546462,0.368615357,0.318886204,36.96386756,0.360062512,0.348359607,36.33871076,0.339667713,0.416554064,66.1093171,0.30985359,0.457363199,49.2389299,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,0.02627029,0.179899005,110.1537224,0.033333309,0.278279497,131.7146383,0.027572711,0.163811476,61.1102199,0.069749423,0.282271169,56.81571629
Mixophyes coggeri,0.366579121,0.362413529,143.332747,0.361222892,0.461936669,152.4919098,0.332851851,0.470778135,105.1736944,0.310690494,0.388319689,49.62427462,0.372977653,0.362006263,102.1720532,0.361222892,0.394780976,103.8514314,0.339667713,0.433996229,88.08958008,0.310541399,0.374894431,45.60584812,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,-0.006398532,0.000407266,41.16069377,0,0.067155694,48.64047844,-0.006815862,0.036781906,17.08411428,0.000149095,0.013425258,4.018426499
Mixophyes fasciolatus,0.299345833,0.202765351,11.26032385,0.291787748,0.20226207,12.44112823,0.281656165,0.211444578,13.51660073,0.272088845,0.231457458,19.13149995,0.524537431,0.780330888,126.6888597,0.517046342,0.829743975,132.9655427,0.502256612,0.898016487,136.0733606,0.462147949,0.989641454,132.9065596,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,-0.225191598,-0.577565537,-115.4285358,-0.225258594,-0.627481905,-120.5244145,-0.220600447,-0.686571909,-122.5567599,-0.190059104,-0.758183996,-113.7750596
Neobatrachus sudellae,0.195632546,0.172073104,4.582131535,0.199312263,0.171144621,4.478670119,0.2011741,0.173178982,3.562136226,0.229136636,0.180037186,4.289810794,0.53066441,1.058111239,135.2237664,0.52399142,1.188627243,143.8975273,0.502301991,1.179038421,157.8437808,0.443962518,1.043983687,114.0270981,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,-0.335031864,-0.886038135,-130.6416348,-0.324679158,-1.017482623,-139.4188572,-0.301127891,-1.005859439,-154.2816446,-0.214825881,-0.8639465,-109.7372873
Notaden melanoscaphus,0.076185812,0.188597809,0.702052355,0.076325621,0.189008081,0.702052355,0.080856051,0.190011596,0.702052355,0.078548068,0.188417313,0.920014093,0.129112656,0.202646803,6.40342306,0.129564074,0.195779497,6.40342299,0.131887852,0.211665093,6.395578008,0.126393102,0.244923088,5.233987301,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,-0.052926844,-0.014048994,-5.701370705,-0.053238453,-0.006771416,-5.701370635,-0.051031801,-0.021653497,-5.693525653,-0.047845034,-0.056505775,-4.313973207
Paracrinia haswelli,0.237445767,0.205570307,10.24216272,0.226415859,0.205584858,9.727509681,0.208727424,0.225525445,9.882550357,0.187375214,0.224002968,16.49368785,0.611611836,1.883614821,345.4203834,0.605766341,2.000266585,359.9486905,0.596139015,2.102674372,359.1200817,0.517356437,1.889378971,269.8320459,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,-0.374166069,-1.678044514,-335.1782207,-0.379350482,-1.794681727,-350.2211808,-0.387411591,-1.877148927,-349.2375313,-0.329981223,-1.665376003,-253.3383581
Platyplectrum ornatum,0.298706819,0.302619218,15.9538827,0.296325249,0.306868628,20.30657794,0.276187976,0.300458717,19.99681825,0.241515264,0.343284405,14.20953621,0.409679582,0.412315442,48.05583061,0.407786436,0.416229926,52.88970431,0.400830493,0.452489855,53.34863301,0.376424387,0.549947669,57.29091702,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,-0.110972763,-0.109696224,-32.10194791,-0.111461186,-0.109361297,-32.58312637,-0.124642517,-0.152031139,-33.35181477,-0.134909123,-0.206663264,-43.08138081
Pseudophryne australis,0.603459976,1.186480097,331.9543361,0.626079227,1.785274771,387.5051512,0.626584431,1.984845266,511.9154134,0.631233061,4.964594321,567.168583,0.71924821,3.161750609,1022.656618,0.713343941,3.715769896,1006.967889,0.695059462,3.8550697,974.597012,0.61674238,3.631062727,638.8911619,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,-0.115788234,-1.975270512,-690.702282,-0.087264714,-1.930495125,-619.4627382,-0.068475031,-1.870224434,-462.6815986,0.014490681,1.333531595,-71.72257883
Pseudophryne bibronii,0.238555614,0.187675075,6.114399191,0.24458616,0.195734823,6.363997135,0.255619029,0.202648494,9.834729297,0.221763281,0.212041596,10.8277651,0.502024401,0.806056941,96.77471581,0.496410249,0.854803342,108.4762566,0.474672479,0.85471166,116.6197602,0.409001078,0.758612945,95.99691685,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,-0.263468787,-0.618381866,-90.66031662,-0.251824089,-0.659068519,-102.1122594,-0.21905345,-0.652063166,-106.7850309,-0.187237797,-0.546571348,-85.16915175
Pseudophryne coriacea,0.206653586,0.194971139,6.714605351,0.206605233,0.199323348,7.33844873,0.20561072,0.19415702,7.440487117,0.226311833,0.205822033,14.21469079,0.362602035,0.249016024,14.32717755,0.363353681,0.249361814,14.90075004,0.352187919,0.261234146,22.9390169,0.317348832,0.345959509,35.46136899,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,-0.155948449,-0.054044886,-7.612572203,-0.156748448,-0.050038466,-7.56230131,-0.1465772,-0.067077126,-15.49852978,-0.091036999,-0.140137476,-21.2466782
Pseudophryne guentheri,0.011562888,0.148257798,0.251299477,0.013649451,0.156290191,0.25129948,0.014925318,0.157987921,0.251299488,0.017913058,0.155626704,0.251299424,0.660626035,3.014970302,269.4789337,0.664281175,3.034694639,382.9499141,0.641532222,3.523731674,443.8612152,0.573243704,2.857564804,305.4720231,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,-0.649063147,-2.866712504,-269.2276342,-0.650631725,-2.878404448,-382.6986147,-0.626606904,-3.365743754,-443.6099157,-0.555330646,-2.7019381,-305.2207236
Rhinella marina,0.364236565,0.333660189,30.39258312,0.361676194,0.352671135,33.20158502,0.357280516,0.370712067,36.51746433,0.346454988,0.429464089,29.82834557,0.407816897,0.415802658,51.17335153,0.404861878,0.420614287,54.35977606,0.399525183,0.460311598,54.99380584,0.384203472,0.552231682,60.29762121,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,-0.043580332,-0.082142468,-20.78076841,-0.043185685,-0.067943152,-21.15819104,-0.042244667,-0.089599532,-18.47634151,-0.037748483,-0.122767594,-30.46927564
Uperoleia altissima,0.168576015,0.155322133,8.714916229,0.174645468,0.156005579,9.411643619,0.183316753,0.161329562,8.769269394,0.173060584,0.201597446,18.70193459,0.23195717,0.175316528,7.341047074,0.233044966,0.173572945,7.306647656,0.223062261,0.177822297,7.329518301,0.191741395,0.180281936,7.904644025,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,-0.063381155,-0.019994395,1.373869155,-0.058399498,-0.017567366,2.104995963,-0.039745508,-0.016492735,1.439751093,-0.018680811,0.02131551,10.79729057
Uperoleia daviesae,0.064110901,0.176719081,0.702052355,0.064360777,0.176210892,0.702052351,0.069948049,0.182173144,0.702052346,0.07473177,0.186068222,0.827673825,0.420882896,0.569345015,59.812201,0.422983312,0.606066066,55.2253661,0.406106595,0.725632768,54.78671453,0.353136423,0.584870211,53.7816422,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,-0.356771996,-0.392625933,-59.11014864,-0.358622536,-0.429855174,-54.52331375,-0.336158546,-0.543459624,-54.08466218,-0.278404653,-0.39880199,-52.95396838
Uperoleia fusca,0.288242559,0.188210162,8.563056946,0.291939132,0.187333851,8.680338273,0.2822772,0.190425201,9.917768171,0.255656547,0.219536833,12.65711844,0.51856465,0.772046471,121.9144369,0.511042269,0.814963226,126.8872634,0.49444624,0.870685049,130.0540651,0.45584709,0.898849033,124.4020151,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,-0.230322091,-0.583836309,-113.35138,-0.219103136,-0.627629374,-118.2069251,-0.21216904,-0.680259848,-120.1362969,-0.200190543,-0.6793122,-111.7448967
Uperoleia inundata,0.128314523,0.196724034,0.702052355,0.129403213,0.199777699,0.702052355,0.131871048,0.210950304,0.702052355,0.12632519,0.261855152,3.851973363,0.178054394,0.203911222,6.403423063,0.171313752,0.209982443,6.403422992,0.165231821,0.252444239,6.397412691,0.126617143,0.268538421,5.327531476,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,-0.049739872,-0.007187188,-5.701370709,-0.041910539,-0.010204745,-5.701370637,-0.033360772,-0.041493935,-5.695360336,-0.000291953,-0.006683269,-1.475558113
Uperoleia laevigata,0.219360354,0.187403183,4.017747879,0.218076502,0.18723212,4.138345374,0.217361774,0.188791571,5.358424128,0.206918978,0.203703032,7.174163723,0.493158631,0.728076554,90.04073752,0.486656317,0.738439738,95.15291426,0.464538267,0.784720837,106.1292648,0.416947324,0.777832739,99.41032583,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,-0.273798278,-0.54067337,-86.02298964,-0.268579815,-0.551207618,-91.01456888,-0.247176492,-0.595929266,-100.7708407,-0.210028346,-0.574129707,-92.23616211
Uperoleia lithomoda,0.048789355,0.161828537,0.06090157,0.046086905,0.161932242,0.082519976,0.04475887,0.163315596,0.101209348,0.043565382,0.162723803,0.210888879,0.278355924,0.261048282,14.1816687,0.281213876,0.268309694,17.64964221,0.264169227,0.272377157,17.03632606,0.218274776,0.312911015,14.73290927,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,-0.229566569,-0.099219745,-14.12076713,-0.235126971,-0.106377452,-17.56712223,-0.219410358,-0.10906156,-16.93511671,-0.174709395,-0.150187212,-14.52202039
Uperoleia mimula,0.221023062,0.203472315,5.330701843,0.237454918,0.217554791,5.313698598,0.231068561,0.240946869,14.44647757,0.161042912,0.201594539,18.45242244,0.36156203,0.315793003,26.70017593,0.334513477,0.335274836,30.4728789,0.327432108,0.404364489,47.79257563,0.292743592,0.370295888,39.40259671,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,-0.140538968,-0.112320689,-21.36947408,-0.097058559,-0.117720045,-25.1591803,-0.096363547,-0.16341762,-33.34609806,-0.13170068,-0.168701349,-20.95017427
Uperoleia rugosa,0.1639757,0.168300686,4.688642004,0.158120072,0.168355101,4.50905741,0.152337901,0.167195493,3.546171752,0.17203334,0.174637942,4.270087663,0.436415276,0.384854672,39.11675665,0.430187093,0.387472694,46.01100252,0.41921595,0.400868111,46.36464523,0.383503405,0.523865742,59.44582198,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,-0.272439576,-0.216553986,-34.42811465,-0.272067021,-0.219117593,-41.50194511,-0.266878049,-0.233672618,-42.81847348,-0.211470066,-0.3492278,-55.17573432
Uperoleia tyleri,0.358358525,0.30993394,39.66104292,0.345995456,0.320987414,52.15760006,0.332987498,0.322040302,33.77593832,0.321934413,0.346602656,40.72396693,0.466016832,0.796486829,172.6836176,0.46239243,0.936087393,168.854649,0.444221858,0.963118089,149.001108,0.383092207,0.801239341,123.7504274,0.458264757,0.589015882,71.28726959,0.455703584,0.612071696,78.06199128,0.442835399,0.442835399,0.442835399,0.395220821,0.647597899,70.58471881,-0.107658306,-0.48655289,-133.0225747,-0.116396974,-0.615099979,-116.6970489,-0.11123436,-0.641077787,-115.2251697,-0.061157793,-0.454636685,-83.02646046
